Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Demography,Demo_Group,Number,Percent,Map_Key,Flag,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,65-West Lawn,65,,,"2,230",13.4,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,66-Chicago Lawn,66,,,"5,052",19.9,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,67-West Englewood,67,,,"4,197",29.6,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,68-Englewood,68,,,"3,001",22.5,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,69-Greater Grand Crossing,69,,,"3,414",16.5,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,70-Ashburn,70,,,"2,869",12.8,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,71-Auburn Gresham,71,,,"4,876",23.6,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,72-Beverly,72,,,714,6.6,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,73-Washington Heights,73,,,"2,440",18.6,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,74-Mount Greenwood,74,,,433,4.4,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,75-Morgan Park,75,,,"1,263",10.4,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,76-O'Hare,76,,,"1,327",7.8,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,77-Edgewater,77,,,"2,366",6.9,Quintile,G,,,,,,
Social and Economic Factors,Employment,Unemployment,2011-2015,Community Area,1-Rogers Park,1,,,3093,9.8,Quintile,G,,,,,,
