pr_id, title, body, date_published
10,Statement From Mayor Emanuel On Gun Recovery Efforts,“These innovative raids are the latest example of the smart| strategic steps the men and women of the Chicago Police Department are taking to combat gun violence. Whether criminals are operating online or on the street| we will always ensure CPD has the tools| technology| training and talent to track them down. I commend the leadership and rank and file of CPD for their proactive| professional policing that has taken more than 8|600 illegal guns off our streets this year and helped drive a reduction in crime in communities throughout the city.”,December 21| 2017
11,Mayor Emanuel and CPS Expand After-School Programming at 88 Schools,Mayor Rahm Emanuel and Chicago Public Schools today announced $1 million in new funding to expand after-school programming at 88 elementary schools across Chicago| a 35% expansion that will serve nearly 8|000 additional students. The grant will support after-school programs focused on arts| health and wellness| academic enhancement and college and career exploration.,December 21| 2017
12,Statement from Mayor Emanuel and Chicago Police Superintendent Johnson on $1 Million Donation from Chicago Professional Sports Teams to Help Fight Crime| Mentor At-Risk Youth,“When Chicago works together| united as one city| there is nothing we cannot accomplish. We are grateful to Chicago’s legendary professional sports teams for working together to invest in public safety| support our children and make a difference in Chicago communities. When it comes to investing in our children and fighting crime| Chicago is one team with one goal.”,December 20| 2017
13,Mayor Emanuel and CPS Announce Record Number of Students Participating in High Quality Arts Programs,Mayor Rahm Emanuel and Chicago Public Schools today announced that a record number of students have access to high-quality arts education. According to the annual State of the Arts Report released by Ingenuity| 66 percent of schools are rated as strong or excelling in arts education programming| which accounts for 73 percent of the CPS student population.,December 20| 2017
14,Statement from Mayor Emanuel on GOP Tax Bill,"President Trump’s tax plan forces working families to pay more while giving the ultra-wealthy and companies like his own a massive tax cut. The damaging effects of the Trump plan are countless| here in Chicago many families could see a tax increase| and could see their healthcare costs skyrocket. Our schools and neighborhood investments will be undermined by these new policies. The definition of insanity is doing the same thing over and over again and expecting a different result. Republicans have tried these policies before and they do not work. And our children are left to foot the bill. As a city| we’ll continue to fight back against the reckless Trump agenda that hurts too many of our communities.",December 20| 2017
15,Statement from Mayor Emanuel on CPD Commander Ervin,"Our hearts are heavy as we mourn the loss of Chicago Police Department Commander Claudell Ervin. For over three decades| Commander Ervin was a fixture in the Harrison District and a pioneer for community policing. His service to our city is measured by the countless number of colleagues and community members he impacted| inspired and unified. It is that same spirit of service and selflessness he instilled in his son| Alderman Jason Ervin. Amy and I join with all Chicagoans in extending our prayers and deepest sympathies to his wife| Thelma| his children and the CPD family.”,December 19| 2017
16,Mayor Emanuel and Alderman Pat Dowell Tour Third Ward Parade of Homes Development in Bronzeville,Mayor Rahm Emanuel today joined Alderman Pat Dowell (3rd) and local developers for a tour of the new market-rate| single-family homes that are currently being built under the Third Ward Parade of Homes initiative in Bronzeville. “The Parade of Homes is driving new residential development to support the commercial development happening across Bronzeville|” Mayor Emanuel said. “This initiative doubles down on the progress we have seen throughout Bronzeville – from the Arts and Recreation Center at Ellis Park to the Mariano’s on King Drive to the state-of-the-art pedestrian bridge at 35th street.”,December 18| 2017
17,City Cracks Down on Outlaw Cellphone Dealers,Mayor Rahm Emanuel| the Department of Business Affairs and Consumer Protection (BACP) and Chicago Police Department (CDP) today announced the results of enforcement efforts to crackdown on the secondhand market for stolen cellphones. Targeting stores that continue to be out of compliance following the passage of the City’s ordinance in September 2017| joint BACP and CPD enforcement action aims to eliminate options where thieves can sell stolen cellphones for profit.,December 18| 2017
18,Mayor Emanuel and Skills for Chicagoland's Future Announce New Initiative to Place Unemployed Youth into Jobs with Career Pathways and Higher Education,Mayor Rahm Emanuel today joined Skills for Chicagoland’s Future (Skills) to launch Beyond the Diploma| an innovative new demand-driven youth employment initiative that will connect unemployed and underemployed youth to jobs with career pathways and educational advancement. Beyond the Diploma will take a comprehensive and holistic approach that convenes Chicago’s leading businesses| City Colleges of Chicago and community partners in a unified effort to address the city’s youth unemployment rate.,December 15| 2017
19,Mayor Emanuel| Clerk Valencia Launch Municipal ID Pilot Program,Mayor Rahm Emanuel and City Clerk Anna M. Valencia officially launched the Chicago Municipal IDs pilot today by printing the program’s first “CityKey” cards. Additional cards will be printed between now and February for community partners who will test the system before it rolls out citywide in the second quarter of 2018. “If you live in Chicago| we want you to be a part of Chicago|” said Mayor Rahm Emanuel. “This ID breaks down barriers to city services and brings every resident into the fold| regardless of immigration status| gender identification or housing status.” Community groups will test the card throughout the first quarter of 2018 to ensure security and full-integration of the card features. During this time| the Clerk’s Office will also be working with community based organizations and other stakeholders to educate the public on the application process. “The CityKey would not have been possible without the input and feedback from our community partners| Chicago residents and City departments|” said Clerk Valencia. “Our goal is that every Chicagoan will want to get a CityKey to unlock all of the great things our city has to offer.” The program is scheduled to launch citywide during the second quarter of 2018| with free enrollment for the first 100|000 applicants. "We are thrilled to see that this moment is finally here. We believe that the municipal id program is a symbol of the city's commitment to affirm and uphold and dignity of all residents. It sends a clear message of inclusion to all| regardless of socio-economic status or immigration status|” said Nancy Asirifi-Otchere| United African Organization. The CityKey Municipal ID card serves as an official government-issued identification card and will provide a “3-in-1” benefit to cardholders by allowing users to load fares| ride CTA| and also use the ID as a library card. The card will also continue to expand its functionality during the pilot with pop-up enrollment sites| additional test partners and added benefits. Find out more on the Clerk's website. "Too often| Chicagoans experiencing homelessness discover that the process of obtaining identification is complex| confusing and bureaucratic. The Night Ministry is hopeful that Chicago's Municipal ID card will assist youth and adults experiencing homelessness to achieve their life goals| secure stable housing and enjoy the opportunities available to all residents of our city. We have been encouraged by the community-centered process that Clerk Valencia has implemented to develop this ID and appreciate that she spent an afternoon at the Night Ministry discussing the program with young adults experiencing homeless and our staff|” said Tedd Peso| Manager of Advocacy and Community Affairs at The Night Ministry. The Municipal ID will cost $5 for those 17 years and younger| $10 for adults and free of for seniors aged 65 and older. Various communities may qualify for fee waivers including homeless individuals| domestic violence survivors| returning citizens| Veterans| seniors 65+| low-income individuals| and One Summer Chicago participants.  "Having access to a Municipal ID will give persons with disabilities the opportunity to obtain the supports and services they need| allowing them to live more independently within their community." Michelle Garcia| Access Living   U.S. Veterans will have the option to have a special insignia located under the cardholder’s photo on their ID| indicating their service in the U.S. Armed Services. Cardholders will also have the option to include intent to donate organs| as well as emergency contact or medical information. To support the program’s implementation| the City’s 2017 and 2018 Budget allocated $1 million to the program. Upon being sworn-in| City Clerk Valencia launched a listening tour to solicit feedback about the Municipal ID program from constituents all across the city and has held over 50 roundtables to date. In April 2017| an ordinance solidifying the program was passed in City Council with overwhelming support. After testing the program| Clerk Valencia plans to make the card publically available to Chicago residents in the spring of 2018.,December 14| 2017
20,Various Measures Introduced to and Approved by the Chicago City Council,Below find press releases announcing various measures introduced to the Chicago City Council today. ,December 13| 2017
21,Statement from Mayor Emanuel on Willie Pickens,“Willie Pickens was a towering figure in our city’s cultural landscape| lighting the keyboard on fire with splashy chords and lightning runs over a career that spanned more than half a century. But Willie was more than an artist. He was a CPS teacher| a grandfather| an active member of his church| and a mentor to generations of countless young Chicago musicians who learned| grew| and were inspired by his training and guidance. His impact will always be felt across our city’s clubs and stages| and his music will be remembered in the hearts of pianists and jazz lovers everywhere.”,December 13| 2017
22,Statement from Mayor Emanuel on Lewis Manilow,“Lewis Manilow was a driving force behind Chicago cultural anchors including the Goodman Theater and Museum of Contemporary Art| a generous philanthropist and dear friend. Throughout my career Lew challenged me to think fresh and new| read great books and question conventional wisdom. I will miss Lew’s intellectual energy and friendship. He will be remembered for his passion for the arts| deep devotion to Chicago and enduring commitment to helping others. Amy and I join with Lewis’s wife and partner Susan| their children| grandchildren| family and friends in mourning his passing and celebrating his remarkable life and legacy. May his memory be for a blessing.”,December 12| 2017
23,Mayor Emanuel Checks on Chicago's Snow Preparedness Efforts,Mayor Rahm Emanuel visited a City salt station at Grand Avenue and North Rockwell Street today to check on preparedness efforts underway by the Chicago Department of Streets and Sanitation (DSS) to respond to snow this winter season. "Chicago is no stranger to snow. Our Streets and Sanitation crews keep the city moving safely every winter and they’re fully prepared to respond to snow this year|” said Mayor Emanuel. “As temperatures drop and conditions worsen| I encourage residents to help us by checking on their elderly neighbors and calling 311 if you need assistance.” DSS has added 20 new trucks and 14 new hi-lifts to its fleet of more than 330 snow removal vehicles this season. All vehicles are serviced and ready to respond to snow| as needed. “Our priority is always keeping residents safe|” said Acting DSS Commissioner John Tully. “We begin preparing for snow in June to be sure that our crews and spreaders are ready to respond as quickly and efficiently as possible.” Since the summer| DSS has trained drivers and supervisors| prepared the snow removal fleet| and built a reserve of 374|000 tons of road salt in preparation for the winter season. The City has already responded to three snow events this season and maintains reserves of road salt at 19 salt stations throughout Chicago to address additional storms throughout the winter months. DSS will monitor the weather and ground conditions from the City’s Snow Command. When snow is in the forecast| crews are deployed to salt and plow the 287 arterial streets and Lake Shore Drive to ensure that roads are safe and passable for motorists and buses. AccuWeather predicts roughly 40-45 inches of snow in Chicago this winter season.  During storms| motorists should not impede snow plow operations and be sure to pull over for any emergency vehicles.  For more information on snow fighting efforts underway in Chicago| visit DSS at www.cityofchicago.org/dss.  Residents can also monitor the City’s snow plows in real time on the Plow Tracker| www.chicagoshovels.org.,December 12| 2017
24,Statement from Mayor Emanuel on San Francisco Mayor Ed Lee,"Mayor Ed Lee was passionate about public service| dedicated to the people of San Francisco and deeply devoted to his family and friends. I was proud to call Mayor Lee a friend and colleague| and we were honored by his presence in Chicago just last week as we strengthened our cities’ partnership in the fight against climate change. As San Francisco’s first Asian-American mayor| he was a trailblazer who paved the path to public service for future generations. Mayor Lee stood up for human decency as the leader of a welcoming city| and his tireless work to make San Francisco a stronger| more inclusive home for all its residents will endure. Amy and my thoughts and prayers are with Mayor Lee’s wife| Anita| their daughters Brianna and Tania| their family| friends and the people of San Francisco on this difficult day.",December 12| 2017
25,Mayor Emanuel| Department of Water Management Unveil Converted Springfield Pumping Station,Mayor Rahm Emanuel and the Chicago Department of Water Management (DWM) today unveiled the converted Springfield Avenue Pumping Station. The change from a steam based system to an electrically operated facility will reduce carbon emissions by nearly 70 percent| increase reliability and save the City an estimated $4.5 million annually in operating expenses.,December 11| 2017
26,Body Worn Cameras Expansion Completed – One Year Ahead Of Schedule,Mayor Rahm Emanuel and Police Superintendent Eddie Johnson today announced that all patrol officers in Chicago are now equipped with body cameras as part of ongoing police reform efforts. The final police districts| Calumet (5)| Near West (12)| Albany Park (17) and Grand Central (25)| have come online – all one year ahead of schedule. With this implementation| the Chicago Police Department (CPD) has become the largest deployment of body worn cameras in the nation. “Under Superintendent Johnson’s leadership| the Chicago Police Department is rebuilding bonds with residents|” said Mayor Emanuel. “Technology can support accountability and transparency| but it is just a tool. When accompanied by philosophies of community policing| these tools can be used to create teachable moments that strengthen safety and trust in every neighborhood.” In total| more than 7|000 sworn CPD personnel| including all district-assigned CPD officers| tactical officers and supervisors| are now equipped with body worn cameras. The program is an integral part of the Department’s commitment to strengthen CPD’s crime fighting and investigatory tools| increase transparency and accountability| promote the safety of officers and residents| and rebuild trust with the communities that police serve.  “The completed expansion of body cameras to our patrol officers marks an important day in our continued work to foster transparency| while also providing our officers greater resources|” said CPD Superintendent Eddie Johnson. “These devices have played a large role in protecting the rights of the citizens we serve and have shown firsthand the dangers CPD officers face every day to make Chicago safer. Moving forward we will remain committed to identifying ways we can rebuild public trust and help our officers do their jobs more effectively and safely.”  In 2015| CPD launched a body worn camera pilot in the in the Shakespeare (14) district on the Northwest Side and expanded to six more districts in 2016. While the initial rollout was planned over two years| at the end of 2016| CPD announced the expedited expansion and completed the rollout one year ahead of schedule. Since then| officers have taken more than one million segments of footage.,December 10| 2017
27,Mayor Emanuel Interviews Collaboraction's Anthony Moseley on Chicago Stories Podcast,On this week’s episode of Chicago Stories| Mayor Emanuel sat down with actor| producer| and Collaboraction Artistic Director Anthony Moseley to hear how a pair of quarter-life crises led him to acting and using the theater to create empathy and spur social justice. Collaboraction is a 21-year-old Chicago arts organization committed to improving society through the power of theater and art. Starting January 9 – 20| 2018| Collaboraction kicks off “Encounter|” its winter festival curated around the theme of racism and racial healing with theater| visual art| music| video| dance and more created by Chicago artists. The show will be presented in Wicker Parkand tour Englewood’s Hamilton Park| Austin’s La Follette Park and Hermosa’s Kelvyn Park as part of the City’s Night Out in the Parks program. Anthony Moseley is also the husband of actress Sandra Delgado| who graces Kerry James Marshall's new mural on the Chicago Cultural Center.  In addition| the episode highlighted Mayor Emanuel's efforts to eliminate the amusement tax for neighborhood theaters and music venues. Listen to “Chicago Stories” now on Spotify and be sure to subscribe on Apple Podcasts to catch future episodes. ,December 9| 2017
28,Mayor Emanuel and Global Mayors Sign the Chicago Climate Charter at the North American Climate Summit,Mayor Emanuel was joined today at the North American Climate Summit by municipal leaders from across the world| including Mexico City Mayor Miguel Ángel Mancera| Vancouver Mayor Gregor Robertson| Paris Mayor Anne Hidalgo and Vice Chair of the Global Covenant of Mayors Christiana Figueres| to sign the Chicago Climate Charter| a first-of-its-kind international charter on climate change. The Chicago Climate Charter will represent more than 50 cities| and tens of millions of people in cities across the world.,December 5| 2017
29,Mayor Emanuel Hosts the North American Climate Summit,Mayor Rahm Emanuel and the Global Covenant of Mayors for Climate and Energy today welcomed municipal leaders from across the world to the North American Climate Summit. Mayors and global climate leaders will gather to sign the Chicago Climate Charter| a first-of-its-kind international charter on climate change.,December 4| 2017
30,City Officials Urge Chicagoans to Prepare for Cold Conditions in Upcoming Week,As temperatures drop significantly overnight| the City of Chicago is urging residents to be prepared as the cold takes hold and be aware of City-offered services and tips to stay safe this winter. Those seeking access to warming centers and/or experiencing insufficient heat are being encouraged to contact 3-1-1 for immediate assistance.,December 4| 2017
31,Mayor Emanuel and City Officials Unveil Monumental Kerry James Marshall Mural on the Chicago Cultural Center,Mayor Rahm Emanuel and the Chicago Department of Cultural Affairs and Special Events (DCASE)| alongside internationally renowned artist and MacArthur Fellow Kerry James Marshall| unveiled his epic| large-scale mural on the Chicago Cultural Center (78 E. Washington St.). The mural honors 20 women who have shaped the city’s vibrant arts and culture landscape. The 132-foot by 100-foot mural will be the largest artwork he has ever designed or created.,December 4| 2017
32,Mayor Emanuel| Congressman Gutierrez Join Community Partners to Celebrate One Year Anniversary of the Chicago Legal Protection Fund,Mayor Rahm Emanuel and Congressman Luis Gutierrez today joined more than 100 elected officials| community leaders and volunteers to celebrate the one year anniversary of the Chicago Legal Protection Fund. The Fund was established to assist thousands of immigrants and refugees in the City who were threatened with deportation in the post-election era.,December 2| 2017
33,Mayor Emanuel Interviews XS Tennis Founder and U.S. Open Champion Coach Kamau Murray,On this week’s episode of the Chicago Stories Podcast| Mayor Emanuel Mayor Emanuel sat down with the founder of XS Tennis and coach of 2017 U.S. Open champion Sloane Stephens to talk about growing up in Chicago| mentoring young people though tennis| and his growing the game.,December 2| 2017
34,Mayor Emanuel Announces Historic Decline in New HIV Diagnoses,Mayor Rahm Emanuel and the Chicago Department of Public Health (CDPH) announced that new HIV diagnoses in Chicago hit a new record low after 15 years of declines. CDPH’s 2017 HIV/STI Surveillance Report| released today| shows that only 839 residents were newly diagnosed with HIV in 2016| down from 1|850 in 2001. The report also shows that 80 percent of people newly diagnosed with HIV are linked to medical care within one month of diagnosis which is ahead of national rates| and puts Chicago on track to meeting the National HIV/AIDS Strategy goal of 85 percent by 2020.,December 1| 2017
35,What People Are Saying About The RFQ For Express Service Between O'Hare International Airport And Downtown Chicago,Chicago labor and business leaders today released statements praising the City of Chicago and the Chicago Infrastructure Trust’s issuance of a Request for Qualifications (RFQ) for respondents to present their qualifications to design| build| finance| operate and maintain an O’Hare Express operating system through a public-private agreement with the City.,November 29| 2017
36,Mayor Emanuel Takes Next Step Towards Express Service  Between O’Hare International Airport and Downtown Chicago,Mayor Rahm Emanuel announced today that the City of Chicago| in coordination with the Chicago Infrastructure Trust (CIT) will issue a Request for Qualifications (RFQ) for respondents to present their qualifications to design| build| finance| operate and maintain an O'Hare Express operating system through a public-private agreement with the City. The project aims to deliver express service that would take 20 minutes or less to travel from downtown Chicago to O’Hare International Airport (ORD)| cutting more than 50 percent off current travel times.,November 29| 2017
37,Mayor Emanuel Names John Tully Commissioner of Streets and Sanitation,Mayor Rahm Emanuel today announced that he has appointed John Tully| a 23-year-veteran of the City of Chicago| as the new Commissioner of the Department of Streets and Sanitation (DSS).  Tully will be replacing Charles Williams| who plans to retire.,November 29| 2017
38,Mayor Emanuel and City Officials Celebrate Wendell Phillips Academy Winning the State Football Championship,Mayor Rahm Emanuel| Alderman Pat Dowell and Chicago Public Schools officials today for a pep rally at Wendell Phillips Academy to celebrate the football team’s victory at the state championship. This is the school’s second state championship title in three seasons.,November 28| 2017
39,Mayor Emanuel Breaks Ground on Development That Will Bring Affordable Housing and a New Target to Rogers Park,Mayor Rahm Emanuel today broke ground on a mixed-use development that will bring a new Target and affordable and market rate apartments to Rogers Park. The result of a partnership between the Chicago Housing Authority (CHA) and Three Corners Development/Iceberg Development| the Concord at Sheridan will be a transit-oriented development located steps from the CTA’s Loyola Red Line Station at Sheridan Road and Devon Avenue.,November 28| 2017
40,Statement from Mayor Emanuel on Luis Gutierrez,“Luis Gutierrez represented Chicagoans in the Chicago City Council and US Congress for more than three decades| serving his constituents| his city and his country with honor. One thing I know is Luis Gutierrez will not stop fighting for what he believes in until the last vote is cast| and even then will continue working for the causes he has championed throughout his life because he believes in them with his heart. Luis Gutierrez’s journey from a taxi driver to a US Congressman is a testament to the power of the American Dream. I have been proud to call him a dear friend and trusted colleague| and stand with Chicagoans and Americans everywhere in expressing my appreciation for his service and wishing him well in his next chapter.”,November 28| 2017
41,Mayor Emanuel and State's Attorney Foxx File Lawsuit against Uber in Data Breach Case,Mayor Rahm Emanuel and Cook County State’s Attorney Kimberly M. Foxx today announced that they are filing a consumer fraud lawsuit against Uber Technologies| Inc. (“Uber”) over its failure to adequately protect the data of its customers and drivers| which resulted in a massive 2016 data breach that exposed personal data of over 57 million Uber users and drivers| and its subsequent year-long failure to disclose that breach to authorities or to the public as required by law.,November 27| 2017
42,Mayor Emanuel Joins City Officials for the Grand Avenue Reconstruction Project Ribbon Cutting in Humboldt Park,Mayor Rahm Emanuel today joined Aldermen Roberto Maldonado and Walter Burnett for the Grand Avenue Reconstruction Project ribbon cutting ceremony in Humboldt Park. The project rebuilt the 1.5 mile stretch of roadway and sidewalks along Grand Avenue from Chicago Avenue to Pulaski Road| improving traffic flow and enhancing pedestrian safety.,November 27| 2017
43,Mayor Emanuel| Chicago Park District Cut the Ribbon on the Lakefront Trail Separation Project on the North Side,Mayor Rahm Emanuel and Chicago Park District Superintendent Michael P. Kelly today celebrated the completed section of the lakefront trail separation project from Fullerton Avenue to North Avenue. Chicago’s entire 18-mile Lakefront Trail| which runs from Ardmore Avenue on the north to 71st Street on the south| will be separated for cyclists and pedestrians| and is expected to be complete in 2018.,November 26| 2017
44,Statement from Mayor Emanuel on Wendell Phillips Academy Football Championship,Congratulations to Wendell Phillips Academy High School for winning their second state football championship in three seasons! The Wildcats’ success on the field is matched only by the academic strides Phillips Academy students have made in the classroom. Chicago is proud of their success on and off the field and I want to congratulate the entire Phillips community on another sensational season.,November 25| 2017
45,Mayor Emanuel Interviews Harold Washington Top Aide Jacky Grimshaw,On this week’s episode of the Chicago Stories Podcast| Mayor Emanuel was joined by one of Mayor Harold Washington’s top aides| Jacky Grimshaw| to mark the 30th anniversary of his death and look back on the life and legacy of Chicago’s transformative leader.,November 25| 2017
